year,country,count
1970,United States,468
1970,Uruguay,33
1970,Argentina,21
1970,West Germany (FRG),20
1970,East Germany (GDR),12
1970,Turkey,12
1970,United Kingdom,12
1970,Philippines,10
1970,Jordan,9
1970,Brazil,6
1971,United States,247
1971,United Kingdom,81
1971,Turkey,35
1971,Spain,22
1971,West Germany (FRG),13
1971,Iran,11
1971,Uruguay,8
1971,Argentina,7
1971,Jordan,5
1971,East Germany (GDR),4
1972,United Kingdom,292
1972,United States,68
1972,West Germany (FRG),24
1972,Argentina,20
1972,Spain,19
1972,Iran,15
1972,Israel,15
1972,France,11
1972,Turkey,9
1972,Australia,8
1973,United Kingdom,189
1973,Argentina,60
1973,United States,58
1973,West Germany (FRG),27
1973,Spain,21
1973,Italy,15
1973,France,14
1973,Greece,11
1973,Lebanon,11
1973,Chile,7
1974,United Kingdom,203
1974,United States,94
1974,Argentina,71
1974,France,29
1974,West Germany (FRG),28
1974,Italy,22
1974,Mexico,16
1974,Spain,14
1974,Israel,12
1974,Iran,11
1975,United Kingdom,194
1975,United States,149
1975,Spain,136
1975,France,39
1975,Argentina,38
1975,West Germany (FRG),35
1975,Lebanon,15
1975,Iran,13
1975,Japan,12
1975,Colombia,10
1976,United Kingdom,194
1976,Italy,173
1976,United States,105
1976,France,58
1976,Argentina,54
1976,Spain,50
1976,West Germany (FRG),50
1976,Turkey,35
1976,Colombia,22
1976,Greece,21
1977,Italy,308
1977,Turkey,189
1977,Spain,147
1977,United Kingdom,140
1977,United States,130
1977,Colombia,80
1977,France,53
1977,Greece,47
1977,West Germany (FRG),40
1977,Mexico,19
1978,Italy,277
1978,Spain,209
1978,Colombia,158
1978,United Kingdom,100
1978,El Salvador,91
1978,United States,87
1978,Nicaragua,76
1978,France,59
1978,Turkey,52
1978,Greece,39
1979,El Salvador,326
1979,Spain,279
1979,United Kingdom,239
1979,France,212
1979,Italy,209
1979,Nicaragua,206
1979,Turkey,141
1979,Colombia,140
1979,Israel,129
1979,Iran,82
1980,El Salvador,710
1980,Guatemala,281
1980,Spain,187
1980,Colombia,141
1980,United Kingdom,134
1980,Italy,110
1980,Turkey,95
1980,France,94
1980,Lebanon,86
1980,Israel,77
1981,El Salvador,664
1981,Guatemala,399
1981,Colombia,172
1981,Peru,149
1981,United Kingdom,142
1981,Iran,108
1981,Spain,107
1981,Lebanon,81
1981,United States,74
1981,Italy,69
1982,El Salvador,537
1982,Guatemala,354
1982,Peru,350
1982,Colombia,222
1982,Spain,146
1982,Lebanon,120
1982,United Kingdom,95
1982,United States,78
1982,Nicaragua,63
1982,France,62
1983,Peru,536
1983,El Salvador,371
1983,Nicaragua,299
1983,Colombia,234
1983,Lebanon,234
1983,United Kingdom,177
1983,Spain,122
1983,France,121
1983,Guatemala,117
1983,Chile,106
1984,Peru,592
1984,Chile,563
1984,Nicaragua,302
1984,El Salvador,273
1984,Colombia,237
1984,Lebanon,166
1984,India,159
1984,France,145
1984,United Kingdom,145
1984,Spain,143
1985,El Salvador,436
1985,Colombia,382
1985,Peru,352
1985,Nicaragua,258
1985,Chile,232
1985,Philippines,124
1985,Spain,114
1985,Sri Lanka,110
1985,France,106
1985,South Africa,106
1986,Peru,568
1986,Colombia,307
1986,Chile,243
1986,El Salvador,175
1986,Nicaragua,171
1986,South Africa,159
1986,Sri Lanka,142
1986,Spain,125
1986,Lebanon,106
1986,India,96
1987,Peru,627
1987,Colombia,337
1987,El Salvador,234
1987,Nicaragua,223
1987,Chile,173
1987,India,166
1987,Philippines,160
1987,South Africa,133
1987,United Kingdom,117
1987,Sri Lanka,115
1988,Colombia,427
1988,El Salvador,367
1988,India,358
1988,Peru,355
1988,Sri Lanka,350
1988,South Africa,245
1988,Philippines,210
1988,Chile,185
1988,United Kingdom,180
1988,Spain,151
1989,Peru,630
1989,Sri Lanka,510
